compid,orgtype,emplid,tenure,active,gradrn,degree,volcerts,rnyears,lasthire,avghours,avgoncall,lateorcallin,avgshiftwork,retentionrisk,hiresource,performance
CAH,HOSP,78,0,0,0,1,0,1,2024,36,0,0,0,B,companywebsite,B
CAH,CLIN,79,0,1,0,1,0,0,2024,18,0,0,0,B,companywebsite,B
CAH,ADM,80,12,1,0,1,0,23,2012,18,0,0,0,B,referral,B
CAH,CLIN,81,0,1,0,2,0,0,2024,36,0,1,0,B,companywebsite,C
CAH,HOSP,82,1,1,0,1,0,11,2023,36,0,0,0,B,jobboard,B
CAH,CLIN,83,1,0,0,2,0,6,2022,12,0,0,0,B,referral,B
CAH,ADM,84,18,1,0,2,0,25,2006,36,0,0,0,C,newspaper,B
CAH,HOSP,85,17,1,0,1,0,17,2007,8,0,1,0,B,referral,C
CAH,HOSP,86,2,0,0,2,0,39,2019,36,0,0,0,B,newspaper,B
CAH,HOSP,87,0,0,0,1,0,25,2016,12,0,0,0,C,newspaper,B
CAH,HOSP,88,28,1,0,2,0,28,1996,36,0,0,0,B,newspaper,B
CAH,HOSP,89,0,1,1,3,0,3,2024,36,0,0,36,B,companywebsite,B
CAH,CLIN,90,2,0,0,2,0,27,2016,29,0,0,0,B,newspaper,B
CAH,HOSP,91,15,1,0,2,0,16,2009,36,0,0,0,B,newspaper,B
CAH,HOSP,92,0,1,1,3,0,10,2024,36,2,0,0,B,jobboard,B
CAH,HOSP,93,10,1,0,2,0,14,2014,36,0,0,0,B,newspaper,B
CAH,HOSP,94,1,1,0,2,0,5,2023,36,0,0,36,B,referral,B
CAH,HOSP,95,8,1,0,2,0,10,2016,36,0,0,0,B,jobboard,B
CAH,ADM,96,11,1,0,2,0,12,2013,36,0,0,0,A,newspaper,B
CAH,HOSP,97,5,1,0,1,0,15,2019,36,0,0,0,B,jobboard,B
CAH,CLIN,98,5,1,0,2,0,19,2019,36,0,1,0,A,newspaper,C
CAH,HOSP,99,26,1,0,2,0,28,1998,36,0,0,0,B,newspaper,B
CAH,HOSP,100,4,1,0,3,0,32,2020,36,0,0,0,B,referral,B
CAH,CLIN,101,23,1,0,1,0,30,2001,36,0,1,0,A,newspaper,C
CAH,HOSP,102,38,1,0,2,0,44,1986,18,0,0,0,B,referral,B
CAH,CLIN,103,6,1,0,2,0,14,2018,36,0,0,0,B,jobboard,B
CAH,HOSP,104,2,0,0,1,0,36,2017,36,0,3,0,B,newspaper,C
CAH,HOSP,105,5,1,0,2,0,22,2019,30,0,0,30,A,newspaper,A
CAH,ADM,106,17,1,0,2,0,19,2007,10,0,0,0,B,jobboard,B
CAH,HOSP,107,1,1,0,3,0,3,2023,12,0,0,12,B,companywebsite,B
CAH,CLIN,108,9,1,0,2,0,13,2015,36,0,0,0,A,newspaper,A
CAH,HOSP,109,1,0,0,2,0,28,2019,36,0,0,0,A,newspaper,A
CAH,HOSP,110,0,1,1,2,0,26,2024,36,0,0,0,C,jobboard,B
CAH,HOSP,111,6,0,0,2,0,17,2012,36,0,0,0,C,newspaper,B
CAH,HOSP,112,32,1,0,2,0,34,1992,30,0,1,30,A,newspaper,C
CAH,HOSP,113,18,0,0,1,0,28,1998,24,0,1,0,B,newspaper,C
CAH,HOSP,114,1,0,0,1,0,17,2017,36,0,2,0,B,jobboard,C
CAH,HOSP,115,21,1,0,2,0,43,2003,36,0,0,36,C,referral,B
CAH,CLIN,116,0,0,0,1,0,30,2023,36,0,0,0,B,companywebsite,B
CAH,HOSP,117,0,1,1,2,0,0,2024,36,0,2,0,B,referral,B
CAH,HOSP,118,11,1,0,1,0,34,2013,36,0,0,0,A,newspaper,B
CAH,CLIN,119,2,1,0,3,0,3,2022,36,0,0,0,B,jobboard,B
CAH,HOSP,120,8,1,0,1,0,20,2016,36,0,0,0,B,jobboard,B
CAH,ADM,121,8,1,0,2,0,13,2016,36,0,2,0,B,newspaper,C
CAH,HOSP,122,7,1,0,2,0,36,2017,36,0,1,0,B,referral,B
CAH,HOSP,123,11,1,0,1,0,29,2013,36,0,0,0,A,newspaper,A
CAH,HOSP,124,2,1,1,3,0,9,2022,36,4,0,0,B,jobboard,B
CAH,CLIN,125,2,1,0,2,0,2,2022,36,0,2,0,B,companywebsite,B
CAH,HOSP,126,35,1,0,2,0,41,1989,21,0,0,21,B,newspaper,B
CAH,CLIN,127,3,1,0,3,0,27,2021,36,0,2,0,B,newspaper,C
CAH,ADM,128,0,0,0,2,0,9,2024,36,0,0,0,B,jobboard,A
CAH,HOSP,129,0,0,0,1,0,2,2024,36,0,0,0,B,companywebsite,B
CAH,HOSP,130,9,1,0,1,0,15,2015,36,0,0,0,B,jobboard,B
CAH,HOSP,131,7,1,0,1,0,25,2017,8,0,0,8,B,jobboard,B
CAH,HOSP,132,1,1,1,2,3,3,2023,36,0,0,0,B,referral,B
CAH,HOSP,133,20,1,0,2,0,35,2004,36,0,0,0,B,newspaper,B
CAH,HOSP,134,24,1,0,1,0,42,2000,36,0,0,0,A,newspaper,B
CAH,CLIN,135,2,0,0,3,0,29,2014,36,0,0,0,B,newspaper,A
CAH,HOSP,136,9,1,0,3,0,9,2015,36,0,0,0,B,jobboard,B
CAH,HOSP,137,44,1,0,1,0,45,1980,12,1,1,12,B,referral,B
CAH,CLIN,138,6,1,0,2,0,21,2018,36,0,0,0,A,jobboard,A
CAH,CLIN,139,3,1,0,1,0,16,2021,36,0,0,0,B,companywebsite,B
CAH,CLIN,140,13,1,0,2,0,19,2011,36,0,0,0,A,newspaper,A
CAH,HOSP,141,8,1,0,2,0,15,2016,36,0,0,0,B,jobboard,B
CAH,HOSP,142,0,1,0,3,0,1,2024,36,0,0,0,B,referral,B
CAH,ADM,143,0,1,0,2,0,10,2024,24,0,0,0,C,newspaper,B
CAH,HOSP,144,3,0,0,2,0,16,2019,36,0,1,0,B,newspaper,C
CAH,HOSP,145,2,1,1,2,0,18,2022,36,0,1,0,B,companywebsite,B
CAH,CLIN,146,24,1,0,1,0,37,2000,36,0,0,0,B,newspaper,B
CAH,HOSP,147,5,1,0,3,0,27,2019,36,2,0,0,B,newspaper,B
CAH,HOSP,148,2,1,1,2,0,19,2022,36,0,0,0,B,referral,B
CAH,HOSP,149,3,1,0,2,0,40,2021,36,0,1,36,B,newspaper,B
CAH,HOSP,150,14,1,0,3,0,26,2010,36,3,0,0,B,newspaper,A
CAH,CLIN,151,28,1,0,1,1,40,1996,30,0,0,0,C,newspaper,B
CAH,CLIN,152,11,0,0,1,0,26,2007,9,0,2,0,C,referral,C
CAH,HOSP,153,0,0,0,1,2,16,2017,36,0,0,18,B,jobboard,B
CAH,HOSP,154,5,1,0,3,0,31,2019,36,1,0,0,B,newspaper,B
CAH,HOSP,155,2,0,0,3,0,13,2021,36,0,0,0,C,companywebsite,B
CAH,HOSP,156,4,0,0,2,0,12,2019,36,0,0,0,A,jobboard,B
CAH,CLIN,157,33,1,0,1,2,35,1991,36,0,0,0,A,referral,A
CAH,HOSP,158,6,1,0,3,0,39,2018,38,2,0,0,A,newspaper,B
CAH,CLIN,159,6,1,0,1,0,24,2018,36,0,0,0,B,newspaper,B
CAH,HOSP,160,2,0,0,3,0,7,2018,36,0,2,0,B,jobboard,C
CAH,HOSP,161,5,0,0,2,1,44,2011,36,0,2,36,B,jobboard,B
CAH,ADM,162,3,0,0,2,1,30,2018,36,0,0,0,C,newspaper,B
CAH,HOSP,163,25,1,0,1,0,28,1999,36,0,0,0,B,newspaper,B
CAH,HOSP,164,35,1,0,1,0,38,1989,12,0,0,0,B,referral,B
CAH,HOSP,165,29,1,0,2,0,44,1995,18,0,0,0,B,newspaper,B
CAH,HOSP,166,0,1,1,1,0,0,2024,40,0,0,0,B,referral,B
CAH,CLIN,167,1,1,0,1,0,13,2023,36,0,0,0,B,jobboard,B
CAH,HOSP,168,1,1,1,1,0,3,2023,36,0,0,36,B,jobboard,B
CAH,ADM,169,1,0,0,2,0,5,2019,36,0,0,0,B,jobboard,B
CAH,HOSP,170,0,1,0,3,0,30,2024,36,0,0,36,C,newspaper,B
CAH,HOSP,171,13,1,0,1,0,22,2011,36,1,0,0,A,newspaper,A
CAH,HOSP,172,17,1,0,2,0,35,2007,36,1,0,0,A,newspaper,B
CAH,CLIN,173,30,1,0,1,0,30,1994,36,0,0,0,B,newspaper,A
CAH,CLIN,174,3,1,0,2,0,3,2021,38,0,0,0,B,referral,B
CAH,HOSP,175,3,0,0,2,0,22,2020,36,0,0,36,C,companywebsite,B
CAH,HOSP,176,1,1,0,2,0,6,2023,36,0,0,0,C,jobboard,B
CAH,HOSP,177,3,1,1,3,0,35,2021,36,1,0,36,B,newspaper,B
CAH,ADM,178,12,1,0,3,0,12,2012,36,0,0,0,A,jobboard,B
CAH,HOSP,179,6,1,0,3,0,19,2018,36,0,0,0,B,referral,B
CAH,HOSP,180,20,1,0,3,0,26,2004,36,0,0,0,B,referral,B
CAH,HOSP,181,1,1,1,2,0,2,2023,36,0,1,0,B,companywebsite,B
CAH,ADM,182,22,1,0,2,0,43,2002,36,0,0,0,A,referral,A
CAH,HOSP,183,17,1,0,1,0,25,2007,36,0,0,0,B,newspaper,B
CAH,HOSP,184,11,1,0,2,1,20,2013,36,0,0,0,B,newspaper,B
CAH,HOSP,185,5,0,0,2,1,20,2013,36,0,1,0,B,jobboard,C
CAH,ADM,186,12,1,0,3,0,21,2012,36,0,1,0,B,referral,B
CAH,HOSP,187,2,1,0,3,0,3,2022,36,0,0,0,C,jobboard,B
CAH,HOSP,188,4,0,0,2,0,44,2012,36,0,0,0,C,referral,B
CAH,ADM,189,27,1,0,1,0,31,1997,36,0,0,0,B,referral,B
CAH,HOSP,190,2,1,0,2,0,22,2022,36,0,0,0,B,companywebsite,A
CAH,CLIN,191,1,1,0,2,1,2,2023,30,0,0,0,B,jobboard,B
CAH,HOSP,192,21,1,0,2,0,37,2003,24,0,0,24,A,jobboard,A
CAH,HOSP,193,37,1,0,1,0,42,1987,36,0,0,0,C,newspaper,B
CAH,HOSP,194,15,1,0,2,0,15,2009,36,0,0,0,B,referral,B
CAH,CLIN,195,12,1,0,3,0,26,2012,36,0,2,0,A,newspaper,C
CAH,ADM,196,44,1,0,2,0,45,1980,36,0,0,0,C,referral,B
CAH,CLIN,197,0,0,0,1,0,0,2024,36,0,0,0,B,jobboard,B
CAH,HOSP,198,4,0,0,3,0,9,2018,36,2,2,0,C,jobboard,C
CAH,HOSP,199,12,1,0,2,0,22,2012,36,0,0,0,B,newspaper,B
CAH,CLIN,200,16,1,0,1,0,26,2008,30,0,0,0,A,newspaper,A
